year,month,state,totals,Population,Totals per 1000,Pres Election,Sitting President,Mass Shooting,Real GDP,GDP per capita,Urban
2021,5,Minnesota,72677,5706398,12.73605521,1,1,0,341361.15,59821,73.3
2021,5,Mississippi,22302,2966407,7.518186142,0,1,0,103299.35,34823,49.4
2021,5,Missouri,46842,6169038,7.593080153,0,1,0,294931.35,47808,70.4
2021,5,Montana,11537,1085004,10.63314052,0,1,0,48327.75,44542,55.9
2021,5,Nebraska,6096,1951996,3.122957219,0,1,0,124375.05,63717,73.1
2021,5,Nevada,15840,3185786,4.972085382,1,1,0,151285.3,47488,94.2
2021,5,New Hampshire,10959,1372203,7.986427664,1,1,0,78298.9,57061,60.3
2021,5,New Jersey,19911,8874520,2.243614303,1,1,0,561176.95,63235,94.7
2021,5,New Mexico,14349,2105005,6.816610887,1,1,0,95059.6,45159,77.4
2021,5,New York,34892,19299981,1.807877427,1,1,0,1496223,77525,87.9
2021,5,North Carolina,58045,10701022,5.424248263,0,1,0,526401.05,49192,66.1
2021,5,North Dakota,5581,770026,7.247807217,0,1,0,57518,74696,59.9
2021,5,Ohio,63051,11714618,5.382249767,0,1,0,612962.15,52325,77.9
2021,5,Oklahoma,29379,3990443,7.362340472,0,1,0,195574.8,49011,66.2
2021,5,Oregon,35296,4289439,8.228581873,1,1,0,222068.8,51771,81
2021,5,Pennsylvania,102373,12804123,7.995315259,1,1,0,708962.25,55370,78.7
2021,5,Rhode Island,2648,1061509,2.494561987,1,1,0,52693.15,49640,90.7
2021,5,South Carolina,37018,5277830,7.013867442,0,1,0,217845.35,41276,66.3
2021,5,South Dakota,7275,896581,8.114158118,0,1,0,48614.8,54222,56.7
2021,5,Tennessee,63517,6944260,9.146690936,0,1,0,338463.45,48740,66.4
2021,5,Texas,158526,29730311,5.332133929,0,1,0,1806783.6,60772,84.7
2021,5,Utah,113089,3310774,34.15787366,0,1,0,177030.8,53471,90.6
2021,5,Vermont,3551,623251,5.697544007,1,1,0,29606.95,47504,38.9
2021,5,Virginia,46767,8603985,5.435504595,1,1,0,488405.65,56765,75.5
2021,5,Washington,56038,7796941,7.187177638,1,1,0,560688.95,71911,84.1
2021,5,West Virginia,14022,1767859,7.931628031,0,1,0,71983.5,40718,48.7
2021,5,Wisconsin,60229,5852490,10.29117521,1,1,0,301100.45,51448,70.2
2021,5,Wyoming,6381,581075,10.98137074,0,1,0,36911.6,63523,64.8
2021,4,Alabama,88232,4934193,17.88174885,0,1,0,202949.95,41131,59
2021,4,Alaska,9078,724357,12.53249434,0,1,0,50138.25,69218,66
2021,4,Arizona,55830,7520103,7.424100441,1,1,0,329102.8,43763,89.8
2021,4,Arkansas,26952,3033946,8.883480457,0,1,0,120292.75,39649,56.2
2021,4,California,126285,39613493,3.187928921,1,1,0,2805217.85,70815,95
2021,4,Colorado,60918,5893634,10.33623737,1,1,0,361588.85,61352,86.2
2021,4,Connecticut,33213,3552821,9.348346004,1,1,0,244053,68693,88
2021,4,Delaware,7514,990334,7.587339221,1,1,0,63333.25,63951,83.3
2021,4,District of Columbia,1050,714153,1.470273177,1,1,0,124934.95,174941,100
2021,4,Florida,162912,21944577,7.423793131,0,1,0,986239.5,44942,91.2
2021,4,Georgia,78993,10830007,7.293901103,1,1,0,559703.8,51681,75.1
2021,4,Hawaii,1357,1406430,0.964854276,1,1,0,73506.55,52265,91.9
2021,4,Idaho,26291,1860123,14.13401157,0,1,0,76433.4,41091,70.6
2021,4,Illinois,955439,12569321,76.01357305,1,1,0,774004.05,61579,88.5
2021,4,Indiana,186853,6805663,27.45551756,0,1,1,349137.95,51301,72.4
2021,4,Iowa,24056,3167974,7.593496664,0,1,0,180862.9,57091,64
2021,4,Kansas,20588,2917224,7.05739429,0,1,0,163607.85,56083,74.2
2021,4,Kentucky,38414,4480713,8.573189133,0,1,0,194512.6,43411,58.4
2021,4,Louisiana,37415,4627002,8.086229485,0,1,0,227710.1,49213,73.2
2021,4,Maine,11564,1354522,8.537329036,1,1,0,60665.6,44787,38.7
2021,4,Maryland,25666,6065436,4.231517734,1,1,0,369172.5,60865,87.2
2021,4,Massachusetts,22964,6912239,3.322223089,1,1,0,519324.4,75131,92
2021,4,Michigan,92922,9992427,9.299242316,1,1,0,465141.5,46549,74.6
2021,4,Minnesota,95577,5706398,16.74909461,1,1,0,341361.15,59821,73.3
2021,4,Mississippi,30960,2966407,10.43686858,0,1,0,103299.35,34823,49.4
2021,4,Missouri,58530,6169038,9.487702945,0,1,0,294931.35,47808,70.4
2021,4,Montana,14996,1085004,13.8211472,0,1,0,48327.75,44542,55.9
2021,4,Nebraska,8798,1951996,4.507181367,0,1,0,124375.05,63717,73.1
2021,4,Nevada,19013,3185786,5.96807193,1,1,0,151285.3,47488,94.2
2021,4,New Hampshire,14643,1372203,10.67116163,1,1,0,78298.9,57061,60.3
2021,4,New Jersey,25086,8874520,2.826744432,1,1,0,561176.95,63235,94.7
2021,4,New Mexico,19471,2105005,9.249859264,1,1,0,95059.6,45159,77.4
2021,4,New York,42226,19299981,2.187877802,1,1,0,1496223,77525,87.9
2021,4,North Carolina,75043,10701022,7.012694675,0,1,0,526401.05,49192,66.1
2021,4,North Dakota,7571,770026,9.832135538,0,1,0,57518,74696,59.9
2021,4,Ohio,83165,11714618,7.099249843,0,1,0,612962.15,52325,77.9
2021,4,Oklahoma,38393,3990443,9.621237542,0,1,0,195574.8,49011,66.2
2021,4,Oregon,41443,4289439,9.661636405,1,1,0,222068.8,51771,81
2021,4,Pennsylvania,132512,12804123,10.34916644,1,1,0,708962.25,55370,78.7
2021,4,Rhode Island,3633,1061509,3.422486291,1,1,0,52693.15,49640,90.7
2021,4,South Carolina,43879,5277830,8.313833526,0,1,0,217845.35,41276,66.3
2021,4,South Dakota,9516,896581,10.61365342,0,1,0,48614.8,54222,56.7
2021,4,Tennessee,77525,6944260,11.16389651,0,1,0,338463.45,48740,66.4
2021,4,Texas,187843,29730311,6.318231922,0,1,0,1806783.6,60772,84.7
2021,4,Utah,119014,3310774,35.94748539,0,1,0,177030.8,53471,90.6
2021,4,Vermont,5031,623251,8.072189214,1,1,0,29606.95,47504,38.9
2021,4,Virginia,59893,8603985,6.961076757,1,1,0,488405.65,56765,75.5
2021,4,Washington,68676,7796941,8.808069729,1,1,0,560688.95,71911,84.1
2021,4,West Virginia,20522,1767859,11.60839185,0,1,0,71983.5,40718,48.7
2021,4,Wisconsin,72407,5852490,12.37199893,1,1,0,301100.45,51448,70.2
2021,4,Wyoming,7861,581075,13.52837413,0,1,0,36911.6,63523,64.8
2021,3,Alabama,107474,4934193,21.7814747,0,1,0,202949.95,41131,59
2021,3,Alaska,10170,724357,14.04003827,0,1,0,50138.25,69218,66
2021,3,Arizona,65805,7520103,8.750545039,1,1,0,329102.8,43763,89.8
2021,3,Arkansas,34134,3033946,11.25069464,0,1,0,120292.75,39649,56.2
2021,3,California,143742,39613493,3.628612099,1,1,1,2805217.85,70815,95
2021,3,Colorado,69757,5893634,11.83599117,1,1,1,361588.85,61352,86.2
2021,3,Connecticut,28021,3552821,7.886972071,1,1,0,244053,68693,88
2021,3,Delaware,7280,990334,7.351055301,1,1,0,63333.25,63951,83.3
2021,3,District of Columbia,1035,714153,1.449269274,1,1,0,124934.95,174941,100
2021,3,Florida,178247,21944577,8.122599037,0,1,0,986239.5,44942,91.2
2021,3,Georgia,95449,10830007,8.813383038,1,1,1,559703.8,51681,75.1
2021,3,Hawaii,1770,1406430,1.258505578,1,1,0,73506.55,52265,91.9
2021,3,Idaho,34839,1860123,18.7294066,0,1,0,76433.4,41091,70.6
2021,3,Illinois,1427917,12569321,113.6033522,1,1,0,774004.05,61579,88.5
2021,3,Indiana,206884,6805663,30.3988017,0,1,0,349137.95,51301,72.4
2021,3,Iowa,32870,3167974,10.37571647,0,1,0,180862.9,57091,64
2021,3,Kansas,26915,2917224,9.226236998,0,1,0,163607.85,56083,74.2
2021,3,Kentucky,330476,4480713,73.75522601,0,1,0,194512.6,43411,58.4
2021,3,Louisiana,46633,4627002,10.0784482,0,1,0,227710.1,49213,73.2
2021,3,Maine,14536,1354522,10.73146099,1,1,0,60665.6,44787,38.7
2021,3,Maryland,30754,6065436,5.07036922,1,1,0,369172.5,60865,87.2
2021,3,Massachusetts,28257,6912239,4.087966287,1,1,0,519324.4,75131,92
2021,3,Michigan,112066,9992427,11.21509319,1,1,0,465141.5,46549,74.6
2021,3,Minnesota,105224,5706398,18.43965318,1,1,0,341361.15,59821,73.3
2021,3,Mississippi,38031,2966407,12.82056036,0,1,0,103299.35,34823,49.4
2021,3,Missouri,77617,6169038,12.58170237,0,1,0,294931.35,47808,70.4
2021,3,Montana,18329,1085004,16.89302528,0,1,0,48327.75,44542,55.9
2021,3,Nebraska,10860,1951996,5.563535991,0,1,0,124375.05,63717,73.1
2021,3,Nevada,21101,3185786,6.623483184,1,1,0,151285.3,47488,94.2
2021,3,New Hampshire,17186,1372203,12.52438597,1,1,0,78298.9,57061,60.3
